month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,totals
2003-07,District of Columbia,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2003-07,Florida,0,0,9731,8767,0,415,0,29,12,0,542,494,0,0,0,0,0,0,0,0,0,19990
2003-07,Georgia,2142,0,4862,6014,0,173,3804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16995
2003-07,Guam,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2003-07,Hawaii,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584
2003-07,Idaho,924,0,888,1977,0,87,0,3,11,0,257,697,0,0,0,0,0,0,0,0,0,4844
2003-07,Illinois,21254,0,3376,5435,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30227
2003-07,Indiana,7389,0,1121,2653,0,5,0,0,9,0,0,330,0,0,0,0,0,0,0,0,0,11507
2003-07,Iowa,2719,0,25,1545,0,0,7,0,1,0,4,137,0,0,0,0,0,0,0,0,0,4438
2003-07,Kansas,0,0,1385,2672,0,129,0,5,8,0,286,470,0,0,0,0,0,0,0,0,0,4955
2003-07,Kentucky,0,0,4551,5626,0,341,0,47,71,0,1029,1683,0,0,0,0,0,0,0,0,0,13348
